"system","users","cycle","cycle_hour","process_A","process_B","process_C"
"KittenInc",50,22.8922020416001,7862.9395142023,0.318855836972722,16.0803351991428,1.30213816860492
"KittenInc",50,20.2151121904947,8904.22958348149,1.00062485060491,13.2603847625495,1.66631479088973
"KittenInc",1,3.90021910135214,923.025067681951,0.579068881399721,1.4459741963061,1.79946153155089
"DragonInc",10,8.37342516327686,4299.31590693428,0.622831480959522,4.403584309961,1.58673716097257
"KittenInc",5,10.1133860233682,1779.81933631415,0.938924779724506,4.56308592509912,1.04829515495025
"DragonInc",5,4.82975342338392,3726.89833664189,0.99028015408196,1.8402251583712,1.46541817435728
"KittenInc",50,20.92903781875,8600.49093316372,0.61890510181891,14.5489831484535,1.38540184589876
"KittenInc",1,5.46009735483127,659.328903140272,0.823441975702554,1.6004904990319,1.77526914696265
"DragonInc",1,5.76186344689193,624.797868464223,0.595651817309142,1.66270233302143,1.42919010236563
"DragonInc",1,4.13268214912132,871.104979792706,0.664864362565117,1.55984684077475,1.48344874695353
"DragonInc",50,14.7295581798915,12220.325810297,1.17792769788844,7.63377785125006,1.40274405811696
"KittenInc",1,6.44410126172125,558.650439182953,0.48845448459553,1.93065698156582,1.49132352475924
"DragonInc",10,8.33800874429042,4317.5776260311,0.921992031733869,3.24628096311554,1.47383134489189
"DragonInc",10,8.76930000984259,4105.23074357063,0.931726814899441,3.02035012893935,1.25640389921782
"KittenInc",1,3.80567110483947,945.956679078775,0.474423684346723,1.19617944584358,1.12057360959051
"DragonInc",1,3.45406307598248,1042.25079878601,0.931583967892697,1.31425497607807,0.956695843594732
"DragonInc",5,7.05357101654652,2551.89888324296,1.08754450983218,2.79634182864287,1.66628320427649
"KittenInc",10,14.4460410529619,2492.03223693033,0.818257286539905,8.58263161676998,1.33569549126257
"KittenInc",5,10.1133860233682,1779.81933631415,0.938924779724506,4.56308592509912,1.04829515495025
"DragonInc",1,4.92793852789363,730.528593167894,0.783451168136026,1.75937806940058,1.74013742789581
"DragonInc",10,7.89442409429997,4560.18065028875,1.15250832637305,3.67724916216073,1.48546025106436
"KittenInc",10,15.3815754563855,2340.46246446458,0.475083544230356,9.95124993847376,1.63104277126593
"KittenInc",5,8.88268043974982,2026.41535087206,0.925736564422274,3.95181671697612,1.61068331511324
"DragonInc",10,8.22263079327499,4378.16082286501,0.827997841299385,3.17781086062514,1.50694041997593
"KittenInc",1,5.61199689804039,641.482891991095,1.45587379170467,2.01644887656671,1.70588206903804
"DragonInc",5,6.32858493289863,2844.23772310117,0.839636678614579,2.86411527914447,1.43302454520282
"DragonInc",1,5.05307041549867,712.438122563691,0.598608435136358,2.33982520275294,1.5304188881685
