"system","users","cycle","cycle_hour","process_A","process_B","process_C"
"DragonInc",1,4.88486401379735,736.970361883517,0.589236706378178,2.10421896038444,1.60754500603654
"DragonInc",50,13.2946923564857,13539.2377027956,0.649654250540855,7.66258977271041,1.84460797515177
"KittenInc",1,5.76817873783459,624.113808469025,0.5950436811867,1.69519844994605,1.49520803217078
"KittenInc",5,8.91389270176291,2019.3197968874,0.419293104603747,3.79661144944141,1.51043232905802
"KittenInc",50,20.6636887909904,8710.93258423839,1.24426092501001,14.1812427323965,1.61808412605525
"DragonInc",5,7.1519473219844,2516.79706094447,0.763722409762642,2.42933127903551,1.69881763557771
"KittenInc",50,22.6284422658154,7954.59085895296,0.920864336904284,16.0345197192614,1.40146391338896
"DragonInc",1,7.96586536983324,451.928300675682,0.736544882052725,3.61067540984343,1.0475874491474
"KittenInc",50,20.1511843030511,8932.47748087671,0.962420887791931,14.4142632394786,1.38516202574946
"KittenInc",5,8.82447412975787,2039.78160458315,1.03495025587857,5.12737691821125,1.67141975763131
"KittenInc",5,8.95930152484878,2009.0851892948,1.12635958553527,4.10167578063482,1.87693512623453
"KittenInc",1,4.93728590094758,729.145541138113,0.925260077473625,1.94257352139998,1.5085110443404
"DragonInc",5,7.05357101654652,2551.89888324296,1.08754450983218,2.79634182864287,1.66628320427649
"DragonInc",5,6.32858493289863,2844.23772310117,0.839636678614579,2.86411527914447,1.43302454520282
"DragonInc",10,7.13418615138005,5046.12568779637,0.643353107942319,3.32275173610549,1.53288875683563
"DragonInc",5,7.07881235291482,2542.79942773002,0.589286055624619,3.03814660024962,1.11833195458625
"KittenInc",10,15.3815754563855,2340.46246446458,0.475083544230356,9.95124993847376,1.63104277126593
"DragonInc",1,4.60877788087294,781.118138702343,0.853352932630293,1.99130228474383,1.31242293352218
"DragonInc",5,6.65207039344086,2705.92446191618,0.518273951862692,2.37915727880739,1.44196774431698
"KittenInc",10,13.2707827234904,2712.72620086507,0.524546281877224,9.1691971261791,1.49475735701738
"KittenInc",5,7.92821761584932,2270.37158566588,0.840843673351692,3.69177911311656,1.62897023696901
"KittenInc",50,21.0873190888949,8535.93570814759,1.35569061185109,16.0569486123637,1.55493779525025
"DragonInc",1,5.65551188281297,636.54715516386,1.23199850585529,2.05462086064875,1.35406369069527
"DragonInc",1,5.0554869546651,712.097574829659,0.880827406050762,1.58622583162551,1.167165711497
"DragonInc",10,9.74745199164028,3693.27287078456,0.813658144763077,3.4850987245233,1.39193210503684
